participants;   mantel lower;            mantel upper;          mantel sd;          mantel average;         elsim lower;          elsim upper;          elsim sd;               elsim average
1 ;             0.18105859318921536 ;   0.8585014092678459 ;  0.15319601920056014 ;  0.6104641899963388 ;  0.3291269841269841 ;  0.8874603174603171 ;  0.12800544230646016 ;  0.5982030869638713
2 ;             0.46020255795326875 ;   0.888199593718314 ;  0.08819525461861787 ;  0.7384499181978676 ;  0.40770723104056433 ;  0.8874603174603171 ;  0.090624120713938 ;  0.6126591427091427
3 ;             0.615618146556241 ;     0.9016730670047549 ;  0.06746166466263936 ;  0.7884359656652935 ;  0.4288455988455988 ;  0.8872222222222221 ;  0.09249791905100326 ;  0.6900943852443853
4 ;             0.5948417916591149 ;    0.9244715416568549 ;  0.057306853848207696 ;  0.8302106727761639 ;  0.5889329805996474 ;  0.9433333333333334 ;  0.07648942994219925 ;  0.7473416626583294
5 ;             0.7784392092313452 ;    0.9369018941216692 ;  0.03705148063746089 ;  0.8673404906896981 ;  0.5800008016674683 ;  1.0 ;                  0.08960549646541693 ;  0.7676955020288354
6 ;             0.7790302463624262 ;    0.9469822634100917 ;  0.03260742021705486 ;  0.8846091961746608 ;  0.5720434503767837 ;  0.9441269841269838 ;  0.07475463787342589 ;  0.7914417958584625
7 ;             0.77045302975347 ;      0.9429788447469512 ;  0.030158630979612074 ;  0.9007177724962285 ;  0.655925925925926 ;  0.9451851851851855 ;  0.06471880527952055 ;  0.808423606023606
8 ;             0.8377650414457535 ;    0.9535042495802794 ;  0.02256516123951042 ;  0.9123404644039464 ;  0.6714478114478116 ;  1.0 ;                  0.06319436336513036 ;  0.8267231120731121
9 ;             0.8408626713652002 ;    0.9551915808469059 ;  0.023985533457590188 ;  0.9181797288543322 ;  0.625246913580247 ;  1.0 ;                  0.0648891143481998 ;  0.8304215327881995
10 ;            0.8491416327127791 ;    0.9580392607335716 ;  0.020723252223244747 ;  0.9280305314878496 ;  0.7347643097643097 ;  0.9451851851851854 ;  0.05113898721295928 ;  0.8335648789482123
11 ;            0.8964700126439828 ;    0.9617455312621788 ;  0.01405728563855155 ;  0.9345416384659196 ;  0.7328042328042328 ;  1.0 ;                  0.06523995202936976 ;  0.8426142295975629
12 ;            0.90056388150023 ;      0.9643719689155059 ;  0.013789214534242105 ;  0.9411741596346591 ;  0.7340740740740742 ;  1.0 ;                  0.056386807112666276 ;  0.8527395727729061
13 ;            0.9091557916620315 ;    0.969189014329544 ;  0.012175440318217766 ;  0.9441833503911935 ;  0.7340740740740742 ;  1.0 ;                  0.052592320953982204 ;  0.8528800705467372        
14 ;            0.9185295118959902 ;    0.9672665292211214 ;  0.012219154898103695 ;  0.948589499106971 ;  0.7451515151515151 ;  1.0 ;                  0.05626161221487178 ;  0.8545033108866442
15 ;            0.9231504875594448 ;    0.9713902776131502 ;  0.010573506265039893 ;  0.951905774374528 ;  0.6915432098765434 ;  1.0 ;                  0.0530632094226628 ;  0.8597567580567581
16 ;            0.9091000331173476 ;    0.9710336503076163 ;  0.012998057607649452 ;  0.9541864305310365 ;  0.7346296296296297 ;  1.0 ;                  0.06010841077921902 ;  0.8582239698573032        
17 ;            0.9137043148226459 ;    0.9733093803738841 ;  0.01122074139535735 ;  0.9546774699189647 ;  0.7333333333333333 ;  1.0 ;                  0.056677494182805696 ;  0.8622324514991182        
18 ;            0.9248692421922308 ;    0.9762663353855003 ;  0.009442805689675371 ;  0.9599072884620058 ;  0.7064478114478115 ;  1.0 ;                  0.04983160708493007 ;  0.868652405002405
19 ;            0.9445567110165793 ;    0.9758858957873611 ;  0.007138703436788569 ;  0.9627004564248207 ;  0.7345342312008979 ;  1.0 ;                  0.053858666255763334 ;  0.8711016754850088       
20 ;            0.9368666315806867 ;    0.977611239574794 ;  0.006577512571458443 ;  0.9635207929784656 ;  0.7714478114478114 ;  0.9451851851851855 ;  0.04930372189293378 ;  0.8747820666987334
21 ;            0.9443068666066777 ;    0.9806113619588138 ;  0.007728095365008002 ;  0.9660745284061267 ;  0.7334175084175083 ;  1.0 ;                  0.05692840238712787 ;  0.8816941398108065        
22 ;            0.9390717483468889 ;    0.9819724943378384 ;  0.006856238115152411 ;  0.9677261066965475 ;  0.7629292929292929 ;  1.0 ;                  0.051773233195354144 ;  0.8835694324194324       
